sample #,species,CO2 treatment,sample type,Filename,Arginine,Caffeine,Chlorogenic acid,Cinnamic acid,Eugenol,Gallic acid,Histidine,Isoleucine + Leucine,Kaempferol,Lysine,Methionine,Nicotine,P-coumaric acid,Phenylalanine,Quercitin,Threonine,Tryptophan,Valine,Round
36,sunflower,ambient,pollen,SUB09281_SPL36,307943,1193108,607226,7723,N/F,N/F,1132416302,6949779,2870902,13469228,6564632,N/F,N/F,7915726,376947,9717714,3064677,9173724258,1
37,sunflower,ambient,pollen,SUB09281_SPL37,1323534,1328191,4462920,N/F,N/F,N/F,1142619165,19908008,8062311,17771655,8758229,N/F,N/F,11747593,92221,8024521,12116840,9464638423,1
38,sunflower,ambient,pollen,SUB09281_SPL38,504409,599993,941283,N/F,N/F,N/F,1099197776,6046427,4016997,22568924,7586703,N/F,N/F,4750888,51358,6464015,3103523,9746922798,1
39,tomato,ambient,pollen,SUB09281_SPL39,1174698,762704,1082122,3798,N/F,N/F,28242785,#VALUE!,16527074,1483947,2374689,N/F,N/F,53988385,N/F,9176190,19669768,68651909,1
40,tomato,ambient,pollen,SUB09281_SPL40,4752853,955126,1296716,N/F,N/F,N/F,36905909,#VALUE!,54068115,4443902,26808323,N/F,N/F,99667322,N/F,20758103,30295457,92645127,1
41,tomato,ambient,pollen,SUB09281_SPL41,1622457,927163,1293239,N/F,N/F,N/F,24694772,#VALUE!,28910144,1994784,5948978,N/F,N/F,71051601,N/F,11780029,26460078,73560312,1
42,tomato,ambient,pollen,SUB09281_SPL42,1553953,708394,1370382,N/F,N/F,N/F,28059904,#VALUE!,20194115,2097469,6418194,N/F,N/F,59679374,N/F,14021525,23068872,76113345,1
43,tomato,ambient,pollen,SUB09281_SPL43,1925537,954336,771017,N/F,N/F,N/F,18845148,#VALUE!,22575890,2935222,10328482,N/F,N/F,65019563,N/F,13717048,23965308,83185161,1
44,tomato,ambient,pollen,SUB09281_SPL44,1314200,222604,1047999,N/F,N/F,N/F,16317812,#VALUE!,18870437,2180142,6295008,N/F,N/F,58130775,N/F,11880769,22671801,137530441,1
45,tomato,elevated,pollen,SUB09281_SPL45,1526671,427876,1011924,N/F,N/F,N/F,14885713,#VALUE!,17599165,2538256,3464929,N/F,N/F,52702820,N/F,11024557,20589302,66674065,1
46,tomato,elevated,pollen,SUB09281_SPL46,1381707,894111,1486181,N/F,N/F,N/F,31404306,#VALUE!,19408523,2100560,2557661,N/F,N/F,71360671,N/F,13450904,26991880,65883425,1
47,tomato,elevated,pollen,SUB09281_SPL47,1493683,1516816,1438367,N/F,N/F,N/F,27012670,#VALUE!,18598194,1888737,4801837,N/F,N/F,62577076,N/F,11459068,24443521,75480564,1
48,tomato,elevated,pollen,SUB09281_SPL48,974651,543726,1294402,N/F,N/F,N/F,12665195,#VALUE!,20248135,2352482,1632562,N/F,N/F,52304222,N/F,10495526,21845595,84275257,1
49,tomato,elevated,pollen,SUB09281_SPL49,1346252,994280,1440369,N/F,N/F,N/F,18616879,#VALUE!,16938344,1780887,1620631,N/F,N/F,57316751,N/F,9456829,20342584,65567046,1
50,tomato,elevated,pollen,SUB09281_SPL50,1236543,470064,1171375,N/F,N/F,N/F,24388933,#VALUE!,15802635,1779845,2133877,N/F,N/F,55232418,N/F,11198517,22541064,69170967,1
51,buckwheat,elevated,anther,SUB09281_SPL51,2268324,2258227,1598789,41332,N/F,386499,16775768,17162267,59444343,2200792,3771866,1742837,927203,38755009,43628531,24652182,123723838,161255563,1
52,buckwheat,elevated,anther,SUB09281_SPL52,868925,1092832,27832594,143415,N/F,414998,6764174,7179172,58538673,1116431,207619,1752488,324492,41287772,69235110,21219283,85663527,164678297,1
53,buckwheat,elevated,anther,SUB09281_SPL53,877842,848748,1164068,26078,N/F,1085703,7342649,8428352,46613335,1148605,50738,1847990,456506,9716312,66564382,22463883,79988466,126399903,1
54,buckwheat,elevated,anther,SUB09281_SPL54,2038367,1392888,22248254,60815,N/F,442379,9856500,10298879,25675955,1723067,440022,1052660,768791,22778604,16392398,24097068,103592345,126716746,1
55,buckwheat,elevated,anther,SUB09281_SPL55,1197067,3473853,6696086,98543,N/F,840409,6275375,7115784,41113212,1230722,24104,2315870,580592,24702287,123474618,16854054,66901767,108589669,1
56,buckwheat,ambient,anther,SUB09281_SPL56,1783913,400376,2946353,65709,N/F,N/F,7489028,#VALUE!,37778071,925132,288659,2644003,398602,12432613,439288331,19431723,68555241,86825987,1
57,buckwheat,ambient,anther,SUB09281_SPL57,1387578,125166,131208139,81440,N/F,416363,9329665,9746028,43117754,1567110,98197,1317378,344842,19502430,107171443,19511980,116911490,116325208,1
