Sample ID,Sample_weight,N,C,OMIT,NOTES,Plant_SP,ID,CO2,Round
C560,1.19,5.9089,50.0896,1,,C,5,1,1
C361,0.672,6.0381,50.9131,,,C,3,0,1
C360,0.268,5.5281,50.2054,1,,C,3,1,1
SF1360,1.358,4.6212,53.0884,,,SF,13,1,2
SF1563,1.388,4.6589,52.3644,,,SF,15,1,2
SF2363,1.181,4.3184,50.9147,,,SF,23,1,2
SF1660,1.479,4.8281,52.0432,,,SF,16,1,2
SF1861,1.291,4.5828,52.0334,,,SF,18,0,2
SF2460,1.351,4.6539,52.2703,,,SF,24,1,2
SA1362,1.222,4.1931,48.4101,,,SA,13,0,2
SA1560,0.921,4.0911,46.6468,,,SA,15,1,2
SA1561,1.132,4.1048,47.8957,,,SA,15,0,2
SA2162,1.434,3.842,47.042,,,SA,21,0,2
SA1960,1.176,4.3278,47.4507,,,SA,19,1,2
SA2461,1.327,4.1673,48.5166,,,SA,24,0,2
SA2261,1.445,4.4533,48.4243,,,SA,22,0,2
SA1860,,2.9368,47.0015,1,C and N below detection limit,SA,18,1,2
SA1762,1.436,4.1967,47.824,,,SA,17,0,2
SA2061,1.11,4.2613,47.6477,,,SA,20,0,2
SA2062,1.415,4.4933,48.8616,,,SA,20,0,2
SA1961,1.078,3.9275,47.5411,,,SA,19,0,2
SA2360,1.319,3.5664,46.8569,,,SA,23,1,2
SA2161,1.27,4.6386,48.4602,,,SA,21,0,2
SA1462,1.309,4.0002,48.349,,,SA,14,0,2
C1761,0.876,6.1416,50.8322,,,C,17,0,2
C1863,0.467,5.7778,48.147,,,C,18,1,2
C1563,1.068,6.0441,51.1389,,,C,15,1,2
C2061,0.865,6.0982,50.9077,,,C,20,0,2
C2160,1.317,4.5414,48.2785,,,C,21,1,2
C1560,1.28,5.9689,50.4853,,,C,15,1,2
C1961,1.238,6.0111,50.2238,,,C,19,0,2
C1360,1.11,6.1962,50.0609,,,C,13,1,2
C2160,0.386,6.1238,51.5635,1,,C,21,1,2
C1860,1.296,5.963,50.2113,,,C,18,1,2
C1460,1.017,6.1891,50.7179,,,C,14,1,2
LP1662,1.258,7.5215,50.5805,,,LP,16,0,2
LP2363,1.398,8.9205,50.9051,,,LP,23,1,2
LP161M,1.455,2.5027,45.028,1,,LP,1,0,1
BW1861,1.286,1.614,50.5565,,,BW,18,0,2
BW1360,1.42,1.3252,49.6345,,,BW,13,1,2
BW1660,1.336,1.7375,50.3984,,,BW,16,1,2
BW2260,1.356,1.6591,48.739,,,BW,22,1,2
BW2060,1.288,1.4788,50.2127,,,BW,20,1,2
BW1860,1.38,1.7987,48.0603,,,BW,18,1,2
BW1560,1.295,1.6697,50.0853,,,BW,15,1,2
BW1460,1.24,2.3317,46.9594,,,BW,14,1,2
BW1561,1.32,1.4292,50.4493,,,BW,15,0,2
BW2261,1.257,1.8036,48.2713,,,BW,22,0,2
BW2461,1.365,1.6758,49.9511,,,BW,24,0,2
B2162,1.36,7.0451,54.6312,,,B,21,0,2
B1462,1.232,6.885,54.8498,1,,B,14,0,2
C1463,0.616,6.0913,50.4069,,,C,14,1,2
C1361,0.659,6.0925,50.4581,,,C,13,0,2
PP1162,1.311,7.8595,50.5092,,,PP,11,0,1
PP561,1.433,8.5576,50.8346,,,PP,5,0,1
PP1160,1.364,7.8144,51.0338,,,PP,11,1,1
PP760,0.848,7.5474,49.6496,,,PP,7,1,1
N1561,1.408,5.95,48.1222,,,N,15,0,2
N961,1.432,5.8754,48.3253,,,N,9,0,1
N1763,1.232,4.6268,46.1722,,,N,17,1,2
N2162,1.25,5.3654,47.6031,,,N,21,0,2
N2263,1.334,4.5939,47.2134,,,N,22,1,2
N163,1.475,4.8894,47.0346,,,N,1,1,1
